Desert name,Date,Price(In dollar),Details,Rating
"Marrakesh, Morocco",May 5 – Jun 2,"19,440.00","9,387 kilometers away",None
"?????Marrakech, Morocco",May 1 – 29,"49,610.00","9,406 kilometers away",None
"Marrakech, Morocco",May 1 – 29,"5,360.00","9,389 kilometers away",None
"Tidzi, Morocco",May 1 – 29,"6,320.00","9,548 kilometers away",None
"Aqaba City, Jordan",May 1 – 29,706.00,Near Arabian Desert,None
"Ait Bihi, Morocco",May 1 – 29,"1,303.00","9,586 kilometers away",None
"Ouarzazate, Morocco",May 1 – 29,231.00,"9,329 kilometers away",None
"Tamesluht, Morocco",May 1 – 29,"17,752.00","9,404 kilometers away",None
"Aït Ben Haddou, Morocco",May 1 – 29,615.00,"9,341 kilometers away",None
"Wadi Rum Village, Jordan",May 1 – 29,396.00,Near Arabian Desert,None
"Aït Ben Haddou, Morocco",May 1 – 29,493.00,"9,341 kilometers away",None
"Ouarzazate, Morocco",May 1 – 29,"1,553.00","9,327 kilometers away",None
"Ait Bihi, Morocco",May 1 – 29,"1,063.00","9,586 kilometers away",None
"Ovnat , Israel",May 1 – 29,"3,094.00",Near Syrian Desert,None
"Ouarzazate, Morocco",May 1 – 29,296.00,"9,329 kilometers away",None
"Essaouira, Morocco",May 1 – 29,"5,386.00","9,536 kilometers away",None
"Faiyum, Egypt",May 1 – 29,"1,239.00",Near Sahara Desert,None
"Marrakech, Morocco",May 1 – 29,"9,969.00","9,384 kilometers away",None
"Mhamid, Morocco",May 1 – 29,532.00,Near Sahara Desert,None
"Merzouga , Morocco",May 1 – 29,665.00,Near Sahara Desert,None
"Mhamid, Morocco",May 1 – 29,375.00,Near Sahara Desert,None
"Ezuz, Israel",May 1 – 29,"2,635.00",Near Arabian Desert,None
"Es Sabria, Tunisia",May 1 – 29,954.00,Near Sahara Desert,None
"Jaisalmer Rural, India",May 1 – 29,393.00,Near Thar Desert,None
"Errachidia Province, Morocco",May 1 – 29,455.00,Near Sahara Desert,None
"Ma'an Governorate, Jordan",May 1 – 29,"1,993.00",Near Syrian Desert,None
"Boumalne Dades, Morocco",May 1 – 29,658.00,Near Sahara Desert,None
"Nuweibaa, Egypt",May 1 – 29,496.00,Near Arabian Desert,None
"Zagora, Morocco",May 1 – 29,918.00,Near Sahara Desert,None
"Aït Benhaddou, Morocco",May 1 – 29,"1,455.00","9,340 kilometers away",None
"Petra, Jordan, Jordan",May 1 – 29,687.00,Near Syrian Desert,None
"Wadi Rum Village, Jordan",May 1 – 29,465.00,Near Arabian Desert,None
"Essaouira, Morocco",May 1 – 29,"5,386.00","9,536 kilometers away",None
"Palea Agia Roumeli, Greece",May 1 – 29,851.00,"6,442 kilometers away",None
"Mhamid, Morocco",May 1 – 29,582.00,Near Sahara Desert,None
"Zagora, Morocco",May 1 – 29,657.00,Near Sahara Desert,None
"Órzola, Spain",May 1 – 29,"2,662.00","9,976 kilometers away",None
"Douz, Tunisia",May 1 – 29,"1,526.00",Near Sahara Desert,None
"Telouet, Morocco",May 1 – 29,404.00,"9,331 kilometers away",None
"Tinghir, Morocco",May 1 – 29,665.00,Near Sahara Desert,None
"Assouan, Aswan, Egypt",May 1 – 29,929.00,Near Sahara Desert,None
"Kathodi, India",May 1 – 29,184.00,Near Thar Desert,None
"Ouarzazate, Morocco",May 1 – 29,464.00,"9,340 kilometers away",None
"Abu AR Rish Qebli, Egypt",May 1 – 29,"1,163.00",Near Sahara Desert,None
"Merzouga, Morocco",May 1 – 29,463.00,Near Sahara Desert,None
"Wadi Rum Village, Jordan",May 1 – 29,178.00,Near Arabian Desert,None
"Demnat, Morocco",May 1 – 29,947.00,"9,296 kilometers away",None
"Quairah District, Jordan",May 1 – 29,501.00,Near Arabian Desert,None
"Petra - Wadi Musa, Jordan",May 1 – 29,"1,041.00",Near Syrian Desert,None
"Aït Ben Haddou, Morocco",May 1 – 29,590.00,"9,337 kilometers away",None
"Wadi Rum Village, Jordan",May 1 – 29,"1,053.00",Near Arabian Desert,None
"Quairah District, Jordan",May 1 – 29,155.00,Near Arabian Desert,None
"Rissani, Morocco",May 1 – 29,396.00,Near Sahara Desert,None
"Mhamid, Morocco",May 1 – 29,951.00,Near Sahara Desert,None
"Wadi Rum Village, Jordan",May 1 – 29,786.00,Near Arabian Desert,None
"Awrir , Morocco",May 1 – 29,"5,951.00","9,584 kilometers away",None
"Ras al-Khaimah , UAE",May 1 – 29,"3,038.00",Near Arabian Desert,None
"Merzouga, Morocco",May 1 – 29,"1,202.00",Near Sahara Desert,None
"??????????, Morocco",May 1 – 29,898.00,Near Sahara Desert,None
"Charco del Palo, Spain",May 1 – 29,"1,958.00","9,983 kilometers away",None
"Nijar (Almería), Spain",May 1 – 29,"2,663.00","8,657 kilometers away",None
"Mogán, Spain",May 1 – 29,"2,383.00","10,246 kilometers away",None
"Alhaurín el Grande, Spain",May 1 – 29,"12,816.00","8,891 kilometers away",None
"Níjar, Spain",May 1 – 29,"1,165.00","8,668 kilometers away",None
"Las Palmas, Spain",May 1 – 29,"3,605.00","10,057 kilometers away",None
"Swakopmund, Namibia",May 1 – 29,"6,894.00","9,682 kilometers away",None
"Antigua, Spain",May 1 – 29,"3,515.00","10,066 kilometers away",None
"Tarajalejo, Spain",May 1 – 29,"1,982.00","10,083 kilometers away",None
"Loxton, South Africa",May 1 – 29,"1,331.00","9,530 kilometers away",None
"Tarajalejo, Spain",May 1 – 29,"1,164.00","10,083 kilometers away",None
"Pozo de los Frailes, Spain",May 1 – 29,"3,140.00","8,667 kilometers away",None
"Tarajalejo, Spain",May 1 – 29,"1,898.00","10,083 kilometers away",None
"Palm-Mar, Spain",May 1 – 29,"8,230.00","10,319 kilometers away",None
"Las Hortichuelas, Spain",May 1 – 29,"1,767.00","8,658 kilometers away",None
"La Isleta del Moro, Spain",May 1 – 29,"2,329.00","8,662 kilometers away",None
"Tabernas, Spain",May 1 – 29,"1,327.00","8,681 kilometers away",None
"Caleta de Famara, Spain",May 1 – 29,"3,733.00","9,991 kilometers away",None
"Antas, Spain",May 1 – 29,"4,387.00","8,634 kilometers away",None
"El Roque, Spain",May 1 – 29,696.00,"10,050 kilometers away",None
"Tabernas, Spain",May 1 – 29,"2,064.00","8,681 kilometers away",None
"Cuevas del Almanzora, Spain",May 1 – 29,998.00,"8,631 kilometers away",None
"Tarajalejo, Spain",May 1 – 29,"1,898.00","10,083 kilometers away",None
"Montaña de Tindaya, Spain",May 1 – 29,"1,139.00","10,054 kilometers away",None
"El Pozo de los Frailes, Spain",May 1 – 29,"2,227.00","8,668 kilometers away",None
"Yaiza, Spain",May 1 – 29,"6,695.00","10,019 kilometers away",None
"Arrieta, Spain",May 1 – 29,"1,597.00","9,981 kilometers away",None
"Las Casitas, Spain",May 1 – 29,"17,481.00","10,017 kilometers away",None
"sceale bay, Australia",May 1 – 29,"4,699.00","7,821 kilometers away",None
"Caleta/Teguise, Spain",May 1 – 29,"1,869.00","9,993 kilometers away",None
"Bidiyah, Oman",May 1 – 29,"1,054.00",Near Arabian Desert,None
"Haría Lanzarote, Spain",May 1 – 29,"5,117.00","9,981 kilometers away",None
"Tefia , Spain",May 1 – 29,"2,326.00","10,058 kilometers away",None
"El Pozo de los Frailes, Spain",May 1 – 29,"2,994.00","8,668 kilometers away",None
"Tarajalejo, Spain",May 1 – 29,"1,616.00","10,083 kilometers away",None
"Las Palmas, Spain",May 1 – 29,"1,872.00","10,055 kilometers away",None
